,topic,tweet,tweets_cleaned
667,soda,@HadjMadior @marieeeme_soda 😂 nagn supprimer dimanche rekk,hadjmadior marieeemesoda nagn supprimer dimanche rekk
671,soda,"La música murió, hace mínimo, 20 años. Crecí escuchando a The Beatles, Pink Floyd, Queen, Soda, Radiohead, Spinetta en todos sus colores, The Who, U2, Los Rolling, entre tantos otros...",la música murió hace mínimo años crecí escuchando beatles pink floyd queen soda radiohead spinetta en todos sus colores u los rolling entre tantos otros
675,soda,@siny_lo @marieeeme_soda Yaw yay yéné manifestation biir aldjana 🤣🤣😏🤭🤭,sinylo marieeemesoda yaw yay yéné manifestation biir aldjana 
676,soda,@rphlbruce Com uma pitada de soda cáustica,rphlbruce com uma pitada de soda cáustica
679,soda,"FYI: I got it at the Uwajimaya in Seattle! They also had Sailor Venus (mango flavored). 

Ocean Bomb is the name of the brand, not the soda itself - you can find more if you Google ""ocean bomb soda""",fyi got uwajimaya seattle also sailor venus mango flavored ocean bomb name brand soda find google ocean bomb soda
681,soda,"I’ve been doing a great job at NOT drinking soda but I HAVE to try this… 

Dream flavored? What does that even mean?!",great job drinking soda try dream flavored even mean
687,soda,@Qwerty_Soda 👀,qwertysoda 
693,soda,"Tem muito pouca crítica ao Bozo na entrevista do Ciro. Quase nada. Tem um monte de Lula isso e aquilo... E sobrou até pro FHC!

Na boa: tá soda!",tem muito pouca crítica ao bozo na entrevista ciro quase nada tem um monte de lula isso e aquilo e sobrou até pro fhc na boa tá soda
704,soda,"I haven't had real caffeine (outside soda) in 11 days. Since that night I vomited Rockstar. Just had some sort of caffeine and I feel balance...

Also, the Rockstar didn't make me chuck. It was bad pumpkin bread 🤮",havent real caffeine outside soda day since night vomited rockstar sort caffeine feel balance also rockstar didnt make chuck bad pumpkin bread 
717,soda,"Just had my first soda in 3 months, very interesting t.co/rET8Mrxqhk",first soda month interesting tcoretmrxqhk
726,soda,Ahorita es buen momento para escuchar Soda Stereo ✨💫,ahorita e buen momento para escuchar soda stereo 
