,topic,tweet,tweet_stemmed
513,soda,"I don’t drink much soda, but when I do, it’s ginger ale.","['drink', 'much', 'soda', 'ginger', 'ale']"
519,soda,@Thesixler [opens door to soda vault],"['thesixl', 'open', 'door', 'soda', 'vault']"
521,soda,@sundownmotel And I’m alllll outta soda (I’m not),"['sundownmotel', 'alllll', 'outta', 'soda']"
523,soda,"@sundownmotel Nah I’ll just go there in a bit, basically all I do is drive places and buy soda","['sundownmotel', 'nah', 'go', 'bit', 'basic', 'drive', 'place', 'buy', 'soda']"
529,soda,"Obviously, Baja Blast is the exception to this. They can't exactly just come out and admit that it's estradiol soda.","['obvious', 'baja', 'blast', 'except', 'cant', 'exactli', 'come', 'admit', 'estradiol', 'soda']"
534,soda,@elsoda @LicFERB @somoscorta @mauriciomacri Soy viudo soda,"['elsoda', 'licferb', 'somoscorta', 'mauriciomacri', 'soy', 'viudo', 'soda']"
538,soda,@tellenby Caustic soda is a faster way I believe,"['tellenbi', 'caustic', 'soda', 'faster', 'way', 'believ']"
545,soda,@BoonBroAus Bourbon and soda.,"['boonbroau', 'bourbon', 'soda']"
546,soda,@SODA_UYU 너무이쁜!,"['sodauyu', '너무이쁜']"
552,soda,@_codeinedreams Coulda been a soda 💚,"['codeinedream', 'coulda', 'soda', '']"
560,soda,"Chapman 
Ginger beer
Tequila soda","['chapman', 'ginger', 'beer', 'tequila', 'soda']"
566,soda,"Que cosa hermosa el primer recital. La emoción, sentir que está pasando algo que te va a cambiar la vida. Mi primer show fue Soda Stereo en el Gran Rex, el domingo 16 de junio de 1991 ¿Cuál fue el tuyo?","['que', 'cosa', 'hermosa', 'el', 'primer', 'recit', 'la', 'emoción', 'sentir', 'que', 'está', 'pasando', 'algo', 'que', 'te', 'va', 'cambiar', 'la', 'vida', 'mi', 'primer', 'show', 'fue', 'soda', 'stereo', 'en', 'el', 'gran', 'rex', 'el', 'domingo', 'de', 'junio', 'de', 'cuál', 'fue', 'el', 'tuyo']"
